artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_id,track_pop,artist_pop
Supertramp,Breakfast In America (Deluxe Edition),Goodbye Stranger - 2010 Remastered,67oyFnjJnn78fZP9KjeZx0,0.42,0.668,1,-7.35,1,0.0517,0.016,0.0585,0.338,125.391,350573,4,3JsMj0DEzyWc0VDlHuy9Bx,68.0,72.0
David Bowie,The Man Who Sold the World (2015 Remaster),The Man Who Sold the World - 2015 Remaster,4mWahKerLaVddUjb8d1Q4Q,0.474,0.387,2,-14.416,0,0.0305,0.00557,0.143,0.545,118.486,241347,4,0oSGxfWSnnOXhD2fKuz2Gy,67.0,81.0
T. Rex,Electric Warrior [Expanded & Remastered],Jeepster - 2003 Remaster,0v1wsyUb3UplLdgcdTbUEd,0.565,0.761,11,-9.88,0,0.0486,0.00315,0.0442,0.925,94.893,252440,4,3dBVyJ7JuOMt4GE9607Qin,49.0,65.0
Captain Beefheart & His Magic Band,Clear Spot,Too Much Time,1TzUVJVzOPkX5i8BpoAiu4,0.844,0.39,9,-13.774,1,0.0634,0,0.107,0.963,110.834,170400,4,2k8kY9zHUWxuTtwV4UutHw,45.0,50.0
The Beatles,Let It Be (Remastered),Across The Universe - Remastered 2009,4dkoqJrP0L8FXftrMZongF,0.257,0.412,1,-11.788,1,0.0287,8.68e-05,0.0702,0.858,152.126,228133,4,3WrFJ7ztbogyGnTHbHJFl2,69.0,88.0
Phish,Farmhouse,Heavy Things,12gHzpb83V2Eh6D2sKUPlU,0.571,0.875,0,-6.795,1,0.0332,0.00029,0.303,0.773,116.141,255800,4,5wbIWUzTPuTxTyG6ouQKqz,48.0,59.0
Tom Petty and the Heartbreakers,Greatest Hits,Mary Jane's Last Dance,3dmqIB2Qxe2XZobw9gXxJ6,0.464,0.655,7,-9.058,0,0.0608,1.34e-06,0.328,0.531,169.515,273600,4,4tX2TplrkIP4v05BNC903e,75.0,71.0
The Knack,Get The Knack,Maybe Tonight,2UFtcdHQnzDkLJ9a8GIUkU,0.468,0.331,2,-12.49,1,0.0363,0,0.091,0.677,168.805,243093,4,0Nn9YwJzcaeuU1jJL06e3r,24.0,61.0
Ted Hawkins,Watch Your Step,Sorry You're Sick,0bQfDEGIkkjrrbGkK4JLmF,0.716,0.251,8,-14.397,0,0.0791,0.000193,0.136,0.771,141.367,130933,4,1clAnI6PODaoVlbzlUPOfU,53.0,47.0
David Bowie,Diamond Dogs (2016 Remaster),Rebel Rebel - 2016 Remaster,2EC9IJj7g0mN1Q5VrZkiYY,0.635,0.686,9,-15.648,1,0.053,0.0176,0.282,0.464,125.988,274747,4,0oSGxfWSnnOXhD2fKuz2Gy,75.0,81.0
T. Rex,Strange Orchestra Volume One,"Highways (Misty Mist) - Version 3, Early Studio Demos",0bGGOtRdMvQ6JOcopbqnHH,0.62,0.221,8,-10.762,1,0.0415,0,0.257,0.304,82.196,124247,4,3dBVyJ7JuOMt4GE9607Qin,37.0,65.0
The Beatles,Revolver (Remastered),For No One - Remastered 2009,1kDkaFlmkdEZiVUogaP9OZ,0.483,0.351,1,-10.487,0,0.0278,0,0.115,0.713,81.208,119813,4,3WrFJ7ztbogyGnTHbHJFl2,64.0,88.0
The Byrds,Turn! Turn! Turn!,Turn! Turn! Turn! (To Everything There Is a Season),5qBqBdfTEIWJwAS0Jm2F5R,0.451,0.818,2,-8.124,1,0.0439,2.92e-05,0.052,0.755,124.532,229360,4,1PCZpxHJz7WAMF8EEq8bfc,68.0,62.0
Brian Eno,Wrong Way Up [Expanded Edition],Lay My Love,70MtQkoCPrL5LgI3ky6Jtw,0.67,0.743,5,-9.096,1,0.0383,0.0119,0.073,0.968,102.582,284133,4,7MSUfLeTdDEoZiJPDSBXgi,42.0,63.0
