,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_id,track_pop,artist_pop
25,The Strokes,Comedown Machine,"Call It Fate, Call It Karma",3Y4rUyw7XBCK6hGHCOt6rp,0.544,0.241,4,-14.779,0,0.03,0.774,0.101,0.359,109.437,204773,4,0epOFNiUfyON9EYx7Tpr6V,73.0,80.0
26,Talking Heads,Speaking in Tongues (Deluxe Version),This Must Be the Place (Naive Melody) - 2005 Remaster,6aBUnkXuCEQQHAlTokv9or,0.942,0.641,7,-10.15,1,0.0333,0.179,0.028,0.966,114.443,296147,4,2x9SpqnPi8rlE9pjHBwmSC,72.0,71.0
27,The Velvet Underground,The Velvet Underground (45th Anniversary),Pale Blue Eyes,11VwZwNF29HrqwalYUMitb,0.637,0.107,5,-18.759,1,0.0349,0.00146,0.103,0.296,82.879,339533,4,1nJvji2KIlWSseXRSlNYsC,67.0,67.0
28,Pixies,Complete B Sides,Wave of Mutilation - UK Surf,6DdqhtrLTNnOePpOm3OH7S,0.642,0.355,5,-14.196,1,0.0329,3.44e-05,0.0865,0.725,180.26,180133,4,6zvul52xwTWzilBZl6BUbT,59.0,73.0
29,Sonic Youth,Rather Ripped,Incinerate,0lDoG5fQ9cmpvpenwR7Jln,0.446,0.866,8,-8.016,1,0.0342,0.543,0.137,0.455,152.172,295813,4,5UqTO8smerMvxHYA5xsXb6,61.0,64.0
30,The Clash,London Calling (Remastered),Train in Vain (Stand by Me) - Remastered,6ITuEsxEy2qPhqMowdDAeI,0.762,0.722,2,-8.712,1,0.0428,0.000368,0.132,0.966,122.769,194667,4,3RGLhK1IP9jnYFH4BRFJBS,66.0,73.0
31,Television,Marquee Moon,Venus,3x0iCzjgf0v9lnwvAhU9P2,0.55,0.631,0,-11.493,1,0.0385,0.18,0.0503,0.908,114.553,229027,4,0S7Zur2g8YhqlzqtlYStli,46.0,49.0
32,Minutemen,Double Nickels on the Dime,History Lesson Part 2,45fq6kIQtooot7WVRsXAum,0.683,0.241,0,-16.192,1,0.0475,0.522,0.085,0.727,121.213,132133,4,0z6zRFzl5njXWLVAisXQBz,43.0,49.0
33,The Replacements,Pleased to Meet Me (Expanded),Alex Chilton - 2008 Remaster,2g9EvzLR2sYscJQubwKGqu,0.443,0.924,4,-7.384,1,0.0476,3.73e-05,0.323,0.793,165.64,193980,4,4WPY0N74T3KUja57xMQTZ3,53.0,56.0
34,The Velvet Underground,The Velvet Underground (45th Anniversary),After Hours,6cA1usDL8nTHeSgFewQat3,0.608,0.152,7,-20.989,0,0.172,0,0.182,0.472,120.834,127453,4,1nJvji2KIlWSseXRSlNYsC,60.0,67.0
35,Pixies,Surfer Rosa,Where Is My Mind? - Remastered,7wCmS9TTVUcIhRalDYFgPy,0.519,0.441,4,-14.178,1,0.0353,0.000453,0.076,0.25,81.334,234973,4,6zvul52xwTWzilBZl6BUbT,79.0,73.0
36,Various Artists,If I Were A Carpenter,Superstar,5Ext9ObPEi7wIcv5AiQWJy,0.317,0.498,5,-9.137,0,0.0315,0.306,0.121,0.141,84.563,246000,4,0LyfQWJT6nXafLPZqxe9Of,64.0,0.0
37,The Clash,Combat Rock (Remastered),Rock the Casbah - Remastered,56KqaFSGTb7ifpt16t5Y1N,0.797,0.872,9,-6.727,0,0.0575,0,0.284,0.866,129.885,222427,4,3RGLhK1IP9jnYFH4BRFJBS,73.0,73.0
38,Television,Marquee Moon,See No Evil,2OaXmeYBJ0hcTmS3kxjJOx,0.398,0.782,7,-7.944,1,0.0322,0.0684,0.0912,0.806,144.965,232960,4,0S7Zur2g8YhqlzqtlYStli,49.0,49.0
39,Jonathan Richman & The Modern Lovers,Jonathan Sings!,That Summer Feeling,0yULzvtl2NIahJiej2fVPi,0.638,0.279,9,-11.536,1,0.078,0,0.116,0.62,110.076,236733,4,0NjdXlUziaK1qv3kgZV4Jy,40.0,43.0
40,The Cramps,Off The Bone,Garbageman,65CkxnwiaLvC6FbVrRNAqT,0.651,0.945,0,-9.611,1,0.0561,0.596,0.345,0.807,139.044,211067,4,4lYtGx5NZQJHsMyhHc5iz3,39.0,54.0
41,The Velvet Underground,White Light / White Heat,Stephanie Says,7EMLBaRaM5pLPSoX1vWfar,0.553,0.282,0,-15.007,1,0.0325,4.99e-05,0.109,0.226,112.871,169560,4,1nJvji2KIlWSseXRSlNYsC,21.0,67.0
42,Talking Heads,Remain in Light (Deluxe Version),Once in a Lifetime - 2005 Remaster,38Ngied9rBORlAbLYNCl4k,0.644,0.919,2,-6.289,1,0.0561,0.134,0.622,0.871,117.459,259907,4,2x9SpqnPi8rlE9pjHBwmSC,70.0,71.0
43,Sonic Youth,In/Out/In,Basement Contender,49DGW1MChfFmX10S2AYB3w,0.604,0.528,7,-11.293,1,0.0297,0.802,0.274,0.285,120.971,574720,4,5UqTO8smerMvxHYA5xsXb6,48.0,64.0
44,Pixies,Head Carrier,All I Think About Now,5kMiMqkz9T8fwvWhAFgGNG,0.253,0.575,8,-7.833,1,0.0311,0.00193,0.141,0.214,185.717,187320,4,6zvul52xwTWzilBZl6BUbT,67.0,73.0
45,Television,Marquee Moon,Friction,7wfvl1kiZJNvhx6HNTyefX,0.576,0.781,4,-8.6,1,0.0479,0.194,0.468,0.723,121.197,283627,4,0S7Zur2g8YhqlzqtlYStli,42.0,49.0
46,The Smiths,Hatful of Hollow,How Soon Is Now? - 2011 Remaster,1YrnDTqvcnUKxAIeXyaEmU,0.398,0.93,11,-6.76,1,0.0615,0.121,0.0874,0.725,190.818,408173,4,3yY2gUcIsjMr8hjo51PoJ8,72.0,76.0
47,The Cramps,Off The Bone,Human Fly,0ElRzK07sc9eszyk1ea9Ab,0.531,0.849,9,-10.754,1,0.111,0.00763,0.186,0.305,119.516,136427,4,4lYtGx5NZQJHsMyhHc5iz3,59.0,54.0
48,The Velvet Underground,The Velvet Underground & Nico 45th Anniversary,Sunday Morning,11607FzqoipskTsXrwEHnJ,0.506,0.442,5,-13.268,0,0.0276,0.00239,0.0846,0.532,105.826,175893,4,1nJvji2KIlWSseXRSlNYsC,66.0,67.0
49,The Replacements,Don't Tell a Soul (Expanded),Portland - 2008 Remaster,5Hbfkjjq5PQtDPzLaUb9Ql,0.587,0.651,9,-10.68,1,0.0368,0.00475,0.297,0.811,132.556,268800,4,4WPY0N74T3KUja57xMQTZ3,43.0,56.0
